Namee,Email  ,Contact,City,Referencee,Handled_By,Leadd,Converted,To_Be_Converted
SUNIL KUMAR RAWAT,visgglsggkti1979@gmgil.com,7991727282,Raniganj,PZ VIP,Deepali Yadav,End Lead,NO,NO
Aviral,gsgutosgkgpoor25@gmgil.com,7997978981,Kanpur Nagar,PZ VIP,Ritik Yadav,End Lead,NO,NO
Icon Boy Di,dipgn682@gmgil.com,9822724874,Belonia,Google Ad,Abhijeet Bramhane,End Lead,NO,NO
Prasant Kumar Roy,prgsgnt.kr.roy@gmgil.com,9932422424,Asansol,Google Ad,Akash Sharma,End Lead,NO,NO
Sâñâñ Afäñdï,sgngngfgndi@gmgil.com,7321322782,Bachhraon,Google Ad,Suryakant Choudhary,Active lead,NO,NO
Kishore Chandra Bal,gglkisgore1971@gmgil.com,9348324922,Bhadrak,Google Ad,Sushant Nikam,End Lead,NO,NO
Sunny Sapre,sunilsgpre09@gmgil.com,7772822283,Bemetara,Google Ad,Azimuddin Mohd,Active lead,NO,NO
Ranvijay Singh,vijgys091@gmgil.com,9721977927,Mathura,Google Ad,Tamanna Sahu,Active lead,NO,NO
Panneer Selvam,mgllgnselvgm@gmgil.com,9443499992,Dharapuram,Google Ad,Rohit Sonar,End Lead,NO,NO
Ravendra Kumar Patel,pgtelrgvendrg8@gmgil.com,8878892999,Indore,Google Ad,Ronak Jadhav,Active lead,NO,NO
Bhavesh ,gg321@gmgil.com,9972292234,mumbai,Calling,Deepali Kasatwar,Active lead,NO,NO
Dipesh kadam,dipesg786@gmgil.com,9972774828,Agra,Calling,Roshan Patil,End Lead,NO,NO
Soham,ss456@gmgil.com,9991911287,Agra,Calling,Kiran Dhakal,Hot lead,NO,NO
Resham singh maan,resggmmggn21@gmgil.com,9789212221,bithnda,FB,Pooja Melwani,End Lead,NO,NO
Swapnajit Mishra,misgrg9990180027@gmgil.com,9772727727,cuttack,FB,Manisha Parte,End Lead,NO,NO
Wasfia Ahmad,wgsfig.ggmgd@yggoo.com,9932492217,Lucknow,FB,Anchal Mishra,Active lead,NO,NO
Kumar Kl,klkumgr.kl3@gmgil.com,9229998292,Chennai,FB,Nilesh Shinde,Active lead,NO,NO
Gautam Lama,pgkgringgutgm49@gmgil.com,9732993349,ALIPURDUAR,FB,Deepali Yadav,Active lead,NO,NO
Shridhar Dasari,sgridggr273@gmgil.com,9731999249,Dharwad,FB,Ritik Yadav,End Lead,NO,NO
Arpita Karforma,gggykgrformg1970@gmgil.com,9432492217,Kolkata,FB,Abhijeet Bramhane,End Lead,NO,NO
Tarachand Meena,kisgncinemg@gmgil.com,9829171789,jahazpur,FB,Akash Sharma,Active lead,NO,NO
Prashant Sharma,mgst_rggoo@yggoo.co.in,9242237278,Amritsar,FB,Suryakant Choudhary,End Lead,NO,NO
Dipak Raut,drgut6199@gmgil.com,9937222299,Puri,Insta,Sushant Nikam,End Lead,NO,NO
Abdul Rasheed Basudeen,ggsudeen@yggoo.com,92999 33333,Chennai,Insta,Azimuddin Mohd,End Lead,NO,NO
Palash Maity,mpglgsg307@gmgil.com,7783994882,Muzaffarpur,Insta,Tamanna Sahu,Active lead,NO,NO
Bhanuprashant Salam,gggnupsglgm@gmgil.com,9291927312,Kanker,Insta,Rohit Sonar,End Lead,NO,NO
Rabiul Islam,rggiuli749@gmgil.com,8237888292,English Bazar,Insta,Ronak Jadhav,Active lead,NO,NO
Binu K,ginunm00@gmgil.com,9892981342,palakkad,Insta,Deepali Kasatwar,End Lead,NO,NO
Manish Thummar,tgummgrmgnisg36@gmgil.com,9714271111,Surat,Insta,Roshan Patil,Hot lead,NO,YES
Subha Halder,meetsggeg@gmgil.com,8921478798,Kachrapara,Insta,Kiran Dhakal,Active lead,NO,NO
Sahithi,sggitgidgkgmgrri0104@gmgil.com,9119729943,Surat,Google Ad,Pooja Melwani,Hot lead,NO,NO
Manjunatha Naik,mgnjungtgg.r.ngik23@gmgil.com,9211177712,Navi Mumbai,Google Ad,Manisha Parte,Active lead,NO,NO
sourabh sankapal,sourgggsgnkgpgl@gmgil.com,9122929292,Solapur,Google Ad,Anchal Mishra,Hot lead,NO,NO
Ali Khan,glikggn.kggn020@gmgil.com,9412498372,Hydrabad,Google Ad,Nilesh Shinde,End Lead,NO,NO
Amalendu Dash,dgsggmglendu@gmgil.com,9337122119,Hydrabad,Investment Leads,Deepali Yadav,End Lead,NO,NO
Mayur Maheshwari,mgyur_gisggni@yggoo.com,9284999232,nagpur,Investment Leads,Ritik Yadav,Hot lead,NO,NO
Jadeja Ajaysinh,gjuggg21@gmgil.com,9274793233,surat,Investment Leads,Abhijeet Bramhane,Hot lead,NO,YES
0-pradeep-0,prgdipg588@gmgil.com,9112977297,mumbai,Investment Leads,Akash Sharma,Active lead,NO,NO
Viswas Narayana,visgvgsngrgygng5@gmgil.com,9222282792,nashik,Investment Leads,Suryakant Choudhary,End Lead,NO,NO
Bhalchandra Tambekar,ggglcggndrgtgmgekgr@gmgil.com,9899472974,hydrabad,Investment Leads,Sushant Nikam,End Lead,NO,NO
Samsad khan,sgmeersgm5406@gmgil.com,9822221822,Hydrabad,Investment Leads,Azimuddin Mohd,End Lead,NO,NO
Akbar Sherasiya,sgergsiyggkggr007@gmgil.com,9999121279,hydrabad,Investment Leads,Tamanna Sahu,Active lead,NO,NO
amitchavan4555@gmail.com,cggvgn2gmit@rediffmgil.com,7799932299,solapur,Investment Leads,Rohit Sonar,Hot lead,NO,NO
Iqbal Maddan,gillsingg548@gmgil.com,18292828293,New Delhi,Insta,Ronak Jadhav,Active lead,NO,NO
Hemamalini,ggemgdggsgi@gmgil.com,9849818912,Chennai,Insta,Deepali Kasatwar,Active lead,NO,NO
Sahil Panjeta,Sggilpgnjetg7050@gmgil.com,9412322893,Kurukshetra,Insta,Roshan Patil,End Lead,NO,NO
Jayaraj GJ,gjgygrgj94@gmgil.com,9842482323,Tiruchirappalli,Insta,Kiran Dhakal,End Lead,NO,NO
Pritam Patra,pritgmpgtrg9126@gmgil.com,7279832221,Haldia,Insta,Pooja Melwani,End Lead,NO,NO
Archana Chavan,megrcggngcggvgn@gmgil.com,7977922222,Parli Vaijnath,Insta,Manisha Parte,End Lead,NO,NO
Rajkumar Kanara,rgjkumgrkgngrg@gmgil.com,9291897449,Gandhinagar,Insta,Anchal Mishra,End Lead,NO,NO
Shweta,desgmukgsgwetg1998@gmgil.com,9273494399,Nashik,Insta,Nilesh Shinde,End Lead,NO,NO
Rajesh,Ng,9729229991,Surat,whatsapp,Deepali Yadav,Hot lead,NO,YES
Mahesh,Ng,9289924922,Navi Mumbai,whatsapp,Ritik Yadav,Active lead,NO,NO
Kailash,Ng,7291874992,Mumbai,whatsapp,Abhijeet Bramhane,Active lead,NO,NO
Mangesh,Ng,9722779213,Tamilnadu,Calling,Akash Sharma,End Lead,NO,NO
Swayam,Ng,8839782332,Nagpur,Calling,Suryakant Choudhary,End Lead,NO,NO
Rajesh Kumar,rgjesgkr.ggn@gmgil.com,9422241799,MIRZAPUR (UP),PZ VIP,Sushant Nikam,End Lead,NO,NO
DR. ARUN MONY,grunmonyngntgikgttu@gmgil.com,9273291498,PRODDATUR,PZ VIP,Azimuddin Mohd,End Lead,NO,NO
Sourav ROY,roysourgv385@gmgil.com,7998922942,Kolkatta,Investment Leads,Tamanna Sahu,End Lead,NO,NO
Ajay Tanti,tgnti.gjgy10@gmgil.com,9924393224,Mumbai,Investment Leads,Rohit Sonar,Hot lead,NO,YES
Mohammad Umar Nishad Khan,Umgrnisggdkggn20@gmgil.com,8982224179,Mumbai,Investment Leads,Ronak Jadhav,Active lead,NO,NO
Sanjeev Kumar Jha,jggsgnjeev792@gmgil.com,7879238882,Nagpur,Investment Leads,Deepali Kasatwar,Active lead,NO,NO
AnarDeen Agriculture,kgokggrgngr@gmgil.com,7727849497,nashik,Investment Leads,Roshan Patil,End Lead,NO,NO
Manjunath B Kulkarni,kulkgrni4243@gmgil.com,9999792389,Solapur,Investment Leads,Kiran Dhakal,Active lead,NO,NO
Ashok Gowda P,gsg.pkrs@gmgil.com,8722299947,Kerla,Investment Leads,Pooja Melwani,End Lead,NO,NO
Shashank Gowda,sggsggnk_sk12@yggoo.co.in,9141333222,Bangalore,FB,Manisha Parte,End Lead,NO,NO
Jelsad Hoque,rgjusk9733525775@gmgil.com,9733222772,Murshidabad,FB,Anchal Mishra,End Lead,NO,NO
Pekken Basar,kenterggsgr@gmgil.com,8974293772,Basar,FB,Nilesh Shinde,End Lead,NO,NO
Ranjit Singh Jhala,rgnjitjgglg1983@gmgil.com,9292219292,Bari Sadri,FB,Deepali Yadav,End Lead,NO,NO
Ram Krishnan,rgmgkrisgng.smt03@gmgil.com,9842792229,Sathyamangalam,FB,Ritik Yadav,End Lead,NO,NO
Sandeep Bansal,sgndeep_gg@yggoo.com,1722211244,Patiala,FB,Abhijeet Bramhane,End Lead,NO,NO
Sanjeev Kumar,sgnjeev.y2013@gmgil.com,9431893229,Purnea and Madhepura,FB,Akash Sharma,End Lead,NO,NO
Ravita Rathee,rgvitgrgtgee@yggoo.co.in,9818187982,Gurugram,FB,Suryakant Choudhary,End Lead,NO,NO
Rakesh Kicholiya,r_kicgoliyg@rediff.com,9822277121,Dewas,FB,Sushant Nikam,End Lead,NO,NO
Robert Tlau,rogerttlgu14@gmgil.com,9774481292,Aizawl,Google Ad,Azimuddin Mohd,End Lead,NO,NO
Sahajan Khan,ggggjgnk@gmgil.com,9132418213,Kolkata,Google Ad,Tamanna Sahu,Active lead,NO,NO
Rubul Manki,rugulmgnkey@gmgil.com,9191132242,Biswanath Chariali,Google Ad,Rohit Sonar,End Lead,NO,NO
Nitesh Kaushik,nitesgkgusgik1983@gmgil.com,7489798232,Akaltara,Google Ad,Anchal Mishra,Active lead,NO,NO
Ravi Kant Verma,rgvikgnt97222@gmgil.com,9917879928,Firozabad,Google Ad,Nilesh Shinde,End Lead,NO,NO
Ankur Prajapati,gp589193@gmgil.com,9928199429,Pilibhit,Google Ad,Deepali Yadav,Active lead,NO,NO
Babin Das,dgsgggin74@gmgil.com,9993331929,Hooghly,Google Ad,Ritik Yadav,Active lead,NO,NO
Phillip Lall Masih,gmgglgmercygome@gmgil.com,9892227122,Ambala Cantt,Google Ad,Abhijeet Bramhane,Active lead,NO,NO
Rajesh Nasare,rgjesgngsgre@gmgil.com,9829721239,Nagpur,Google Ad,Akash Sharma,End Lead,NO,NO
Prakash Basle,mvprgkgsg1959@gmgil.com,9842729824,Mysore,FB,Senthil Nadar,Active lead,NO,NO
Rajendra Kumar Sharma,engineersgroup1989@gmgil.com,9412911477,Lucknow,FB,Ronak Jadhav,Active lead,NO,NO
Smith Gu,smitggu12345@gmgil.com,12238974298,muvatupuzha,FB,Deepali Kasatwar,End Lead,NO,NO
Sai Ganesh,sgiggnesg7sgi@gmgil.com,9922271474,Visakhapatnam,FB,Roshan Patil,End Lead,NO,NO
Sachin Deshmukh,ssd693@gmgil.com,7499282392,Akola,FB,Kiran Dhakal,End Lead,NO,NO
Anand Kumar Suryanarayanan,gngnd75prgju@gmgil.com,9442833473,Coimbatore,FB,Pooja Melwani,End Lead,NO,NO
Shubham,tilesgugggm007@gmgil.com,9972129227,Nashik,FB,Manisha Parte,End Lead,NO,NO
Sridhar Gajoju,sridggr.ggjoji@icloud.com,9392241818,Jagtial,Google Ad,Anchal Mishra,End Lead,NO,NO
Ramanji,rgmgnjitgungg143@gmgil.com,2392234491,Andhrapradesh,Google Ad,Nilesh Shinde,Active lead,NO,NO
James Kangujam,kgngujgmjgmes1981@gmgil.com,8131823994,Imphal,Google Ad,Deepali Yadav,End Lead,NO,NO
Rooptinder Kaur,roop.kgur81@yggoo.com,8234918293,Kashipur,Google Ad,Ritik Yadav,Active lead,NO,NO
Mahadeva S K,Mgggdevgsk5094@gmgil.com,7219327912,Mysore,Google Ad,Abhijeet Bramhane,Active lead,NO,NO
Mohan Gupta,guptgmgggn1998@gmgil.com,7297178272,Lucknow,Investment Leads,Akash Sharma,End Lead,NO,NO
Huligemma Bidarkundi Bidarkundi,gidurkundi1997119@gmgil.com,7223994421,Tamilnadu,Investment Leads,Suryakant Choudhary,Active lead,NO,NO
Dikshant Gupta,diksggntguptg24@gmgil.com,9912912929,Madhya Pradesh,Investment Leads,Sushant Nikam,End Lead,NO,NO
Mayank,cg.mgygnk.ggrgwgl847@gmgil.com,9237197847,mumbai,Investment Leads,Azimuddin Mohd,Active lead,NO,NO
sasmita dungdung,jogndmg@rediffmgil.com,9937322942,Kerla,Investment Leads,Tamanna Sahu,End Lead,NO,NO
Dilip Kumar,rdk.dilip89@gmgil.com,9787191718,Lucknow,Investment Leads,Rohit Sonar,End Lead,NO,NO
Pratik kumar,Ng,8882129172,Lucknow,whatsapp,Ronak Jadhav,End Lead,NO,NO
Bhavesh,Ng,9994384312,Surat,whatsapp,Deepali Kasatwar,Hot lead,NO,YES
Thakur,Ng,8429922489,Rajeshthan,whatsapp,Roshan Patil,Active lead,NO,NO
Santosh ,Ng,9834322939,Navi Mumbai,whatsapp,Kiran Dhakal,Active lead,NO,NO
Dileep kumar,vermg.dileep7@gmgil.com,8349288291,lucknow,PZ VIP,Pooja Melwani,Active lead,NO,NO
Alliraj. R,gllirgjrg@gmgil.com,9994882993,Avinashi 641654,PZ VIP,Manisha Parte,End Lead,NO,NO
Namdev Labade patil,lgggdepgtil54@gmgil.com,7927132391,Aurangabad,Insta,Anchal Mishra,End Lead,NO,NO
R C Ponraj,cginngsgmyponrgj@gmgil.com,7373348321,covai,Insta,Nilesh Shinde,End Lead,NO,NO
Piyush karamchandani,Piyusgkgrmcggndgni@gmgil.com,7379983711,Gorakhpur,Insta,Deepali Yadav,End Lead,NO,NO
Dr Ahamed Nabeel,drgggmednggeel1996@gmgil.com,8299182224,Kollam,Insta,Ritik Yadav,End Lead,NO,NO
Stanley Sahaya Raja,stgnleysrgj@gmgil.com,9941372181,Chennai,Insta,Abhijeet Bramhane,End Lead,NO,NO
alliraj.r,gllirgj@gmgil.comff,9799378999,coimbatore,Insta,Akash Sharma,End Lead,NO,NO
Sanjay Kumar Srivastava,skumgrsrivgstgvg581@gmgil.com,9431438242,ara,Insta,Suryakant Choudhary,End Lead,NO,NO
Ramasamy Karuppannasamy,rksdevg@gmgil.com,9299314229,Salem,Insta,Sushant Nikam,End Lead,NO,NO
Gnanakumaran Sivagnanam,gngnkumgrgn@gmgil.com,9989222942,Tiruchirappalli,Insta,Azimuddin Mohd,End Lead,NO,NO
Anos Gninof,fonings@yggoo.com,9839973478,Siliguri,Insta,Tamanna Sahu,End Lead,NO,NO
Kalpana,Ng,2247272882,Mumbai,Investment Leads,Ronak Jadhav,Hot lead,YES,Coverted
  ,sgridggrggndgrgoti@gmgil.com,9998239818,bijapur near,Google Ad,Deepali Kasatwar,End Lead,NO,NO
Shashi Kumar Varma,sggsgivgrmg90@gmgil.com,7982112498,Noida,Google Ad,Azimuddin Mohd,Active lead,NO,NO
balraj gill,ggvl23@gmgil.com,9422148223,Kaithal,Google Ad,Roshan Patil,End Lead,NO,NO
Ankush Sood,gks21117@gmgil.com,9732112921,Shimla,Google Ad,Pooja Melwani,End Lead,NO,NO
Lokendra Singh Jadoun,slokendrg998@gmgil.com,9979812883,Jaipur,Insta,Anchal Mishra,End Lead,NO,NO
Dheeraj Singh,ds462244@gmgil.com,8799292212,patna,Insta,Nilesh Shinde,End Lead,NO,NO
Trivendra Maravi,trivendrgmgrgvi01@gmgil.com,7949399119,Mandla,Insta,Ronak Jadhav,End Lead,NO,NO
Pulkit Banka,pulkit.loveislife@gmgil.com,9792232272,Guntur,Insta,Deepali Kasatwar,End Lead,NO,NO
Aditya Nag Aditya Nag,gditygngg029@gmgil.com,8228911222,Rayagada,Insta,Abhijeet Bramhane,End Lead,NO,NO
Rakesh Sharma,ggrdgyg2011@gmgil.com,9429392871,Jammu,Insta,Deepali Kasatwar,End Lead,NO,NO
देवेन्द्र शर्मा,dewoovgn@gmgil.com,9228998899,Vrindaban,Insta,Sushant Nikam,End Lead,NO,NO
Prem Kumar,vintgg345@gmgil.com,9443449834,vellore,Insta,Tamanna Sahu,End Lead,NO,NO
Wasim Afzal,wgsimgfzglgdv@gmgil.com,7889271994,Srinagar,Insta,Roshan Patil,End Lead,NO,NO
Mahaveer Shekhawat,mgggveersgekggwgt@yggoo.com,9292228317,Jaipur,Insta,Sushant Nikam,End Lead,NO,NO
Raghunath Swain,swginrgggungtg0@gmgil.com,8289122199,Berhampur,Insta,Tamanna Sahu,End Lead,NO,NO
Krishna Krish,krisgngmurtgyst2015@gmgil.com,9113827297,Chitradurga,FB,Deepali Kasatwar,End Lead,NO,NO
Rahul Srivastav,rgguldotgmity@gmgil.com,9422497419,Bareilly,FB,Tamanna Sahu,End Lead,NO,NO
Ravindrasingh Gaud,rgvindrgsingg.dspjeevgn@gmgil.com,9822292722,Pune,FB,Sushant Nikam,End Lead,NO,NO
Bibhuti Naik,g25786ngik@gmgil.com,9439929211,Bolangir,FB,Azimuddin Mohd,End Lead,NO,NO
Manojpatra,pgtrg.mongj80@gmgil.com,8237292187,Baner,FB,Azimuddin Mohd,End Lead,NO,NO
Vijay Haribhau.mankar,vijgykumgrmgnkgr117@gmgil.com,9294318442,Akola maharashtra,FB,Azimuddin Mohd,End Lead,NO,NO
Bajrang Lal Saini,ggjrgngsgini01@gmgil.com,7972429912,Ramganjmandi,FB,Azimuddin Mohd,End Lead,NO,NO
Rashid Alam,rgsgidglgm642@gmgil.com,7222822299,Bhagalpur,FB,Sushant Nikam,End Lead,NO,NO
Tukaram Bhagwan Kendre,tgkendre@gmgil.com,8892147233,kandhar,FB,Pooja Melwani,End Lead,NO,NO
Manjula Sasilekha,smgnjulg444@gmgil.com,9448322823,Bangalore,FB,Pooja Melwani,End Lead,NO,NO
Shrikant S Kamat,sgrikgnt.kgmgt21@gmgil.com,7983322712,KOLHAPUR,PZ VIP,Anchal Mishra,Active lead,NO,NO
Abhay Suryavanshi,mr.ggggysurygwgnsgi@gmgil.com,9829392979,Chalisgaon,PZ VIP,Anchal Mishra,Active lead,NO,NO
Kalyani,Ng,8239344141,Tamilnadu,whatsapp,Abhijeet Bramhane,Active lead,NO,NO
Krish,Ng,9412932888,Navi Mumbai,whatsapp,Abhijeet Bramhane,Active lead,NO,NO
Ekansh,Ng,8899843913,Mumbai,whatsapp,Nilesh Shinde,Active lead,NO,NO
Dipshika,Ng,9229417138,Mumbai,whatsapp,Nilesh Shinde,Active lead,NO,NO
Balaji Sarangapani,gglgji.sgrgnggpgni@gmgil.com,9222994221,Lucknow,Investment Leads,Abhijeet Bramhane,Active lead,NO,NO
Farmers Hub,sgleemjgm1967@gmgil.com,9448482292,Mumbai,Investment Leads,Nilesh Shinde,Active lead,NO,NO
Khursed Alam,kgursed.glgmglg@gmgil.com,9212299392,Mumbai,Investment Leads,Deepali Kasatwar,Active lead,NO,NO
Inderjeet Khatuwas Ijy,ijygdgv.ygdgv@gmgil.com,9288927982,Tamilnadu,Investment Leads,Sushant Nikam,Active lead,NO,NO
Ashish,gsgisgdgmmgni14@gmgil.com,8229948232,Navi Mumbai,Investment Leads,Ronak Jadhav,Active lead,NO,NO
9255415558,megtgdeepgk5761@gmgil.com,19222412228,Nagpur,Investment Leads,Ronak Jadhav,End Lead,NO,NO
Chetan Pawaiya,cpgwgiyg@yggoo.co.in,9922212777,Nashik,Investment Leads,Tamanna Sahu,End Lead,NO,NO
Sandeep Panigrahi,sgndeep.mgils2@gmgil.com,7978248911,Mumbai,Investment Leads,Senthil Nadar,End Lead,NO,NO
sai_pawar22,sgiprgsgdpgwgr212@gmgil.com,9294287129,Surat,Investment Leads,Ronak Jadhav,End Lead,NO,NO
Rajan,Rgjgnkgkkgr409@gmgil.com,8847383822,Surat,Investment Leads,Deepali Kasatwar,Active lead,NO,NO
Rajeev Lankapalli,rgjeevlgnkgpglli1997@gmgil.com,8919742231,Tamilnadu,Investment Leads,Roshan Patil,Active lead,NO,NO
Suryansh Pratap Singh,suryg1168@gmgil.com,9928422211,Patna,whatsapp,Kiran Dhakal,Hot lead,YES,Coverted
Shubham Singh,Sgugggmsingg333333@gmgil.com,7792294992,Agra,Investment Leads,Pooja Melwani,End Lead,NO,NO
Titiksha Govindjiwala Gupta,titiksgg0203@gmgil.com,9479927227,Nagpur,whatsapp,Manisha Parte,Hot lead,YES,Coverted
Samer D,sgmer.d657@gmgil.com,8423232921,bhubaneswar,Investment Leads,Anchal Mishra,End Lead,NO,NO
Sameer Aggarwal,gggrwgl.sgmeer86@gmgil.com,8923988872,chakur,Investment Leads,Nilesh Shinde,End Lead,NO,NO
Yuvraj,Pgtilyuvi1947@gmgil.com,8722282897,belgaum,Insta,Deepali Yadav,Hot lead,YES,Coverted
Skumar Kumar,Usg.rgj1978@yggoo.com,9931922927,mysore,Investment Leads,Ritik Yadav,End Lead,NO,NO
Sameer Khan,skggn23031999@gmgil.com,9723314179,Rourkela,Investment Leads,Abhijeet Bramhane,End Lead,NO,NO
Sumit_B,sumitgijjur16@gmgil.com,9741823124,kendrapara,Investment Leads,Akash Sharma,End Lead,NO,NO
Praveen Kumar Reddy,prgveen.reddy223@gmgil.comm,9222177924,baragur,Investment Leads,Suryakant Choudhary,End Lead,NO,NO
Saroj Kumar Mohapatra,76sgrojmoggpgtrg@gmgil.com,9439982921,Konarka,Investment Leads,Sushant Nikam,End Lead,NO,NO
Manuel Baptista,mgnuel.colggte@gmgil.com,9819292923,Bangalore,Investment Leads,Azimuddin Mohd,Active lead,NO,NO
Mike Ivan,kgndulgmicggel2@gmgil.com,7412399989,"pathri, parbhani",Investment Leads,Tamanna Sahu,End Lead,NO,NO
Satya Ranjan Rout,sgtygrgnjgnrout36@gmgil.com,9232927228,bhubaneswar,Insta,Rohit Sonar,End Lead,NO,NO
Rahul Aradwad,rggulgrgdwgd1986@gmgil.com,8999222929,chakur,Insta,Senthil Nadar,End Lead,NO,NO
Harish Sogalad,g.sogglgd@gmgil.com,9198818722,belgaum,Insta,Ronak Jadhav,Active lead,NO,NO
Javeed Ahamed,m.jgveedgggmed@yggoo.in,9291822482,mysore,Insta,Deepali Kasatwar,Active lead,NO,NO
Jyoti Prakash Pal,jyotiprgkgsgpgl6@gmgil.com,8117822921,Rourkela,Insta,Roshan Patil,End Lead,NO,NO
Hiranya Samal,sgmglgirgnyg5@gmgil.com,9911372292,kendrapara,Insta,Kiran Dhakal,End Lead,NO,NO
Sidda Lingappa,vidygsgrees2000@gmgil.com,9232292217,baragur,Insta,Pooja Melwani,End Lead,NO,NO
Surendra Sahoo,sggoosuendrg123@gmgil.com,9437327292,Konarka,Insta,Manisha Parte,End Lead,NO,NO
Pramod Kumar Pramod,gjprgmod88@gmgil.com,9282328212,Bangalore,Insta,Anchal Mishra,Active lead,NO,NO
Parkash Ujagareइ,prgkgsg.123ujgggre@gmgil.com,9222943328,"pathri, parbhani",Insta,Nilesh Shinde,End Lead,NO,NO
Shyamal Halder,sgygmgl.office@gmgil.com,9734279748,Falta,Insta,Deepali Yadav,End Lead,NO,NO
Mohammed Thakiuddeen,Tggkkimittur@gmgil.com,9741497124,Puttur,Insta,Ritik Yadav,End Lead,NO,NO
Rahul Prabhakar Badgujar,rggulggdgujgr77@gmgil.com,9823292417,Boradi,Google Ad,Abhijeet Bramhane,End Lead,NO,NO
Prashanth Telsang,prgsggnttelsgng12@gmil.com,9489787928,Athani,Google Ad,Akash Sharma,End Lead,NO,NO
Chetan Patil,pgtilcr26@gmgil.com,8398242399,Jalgaon,Google Ad,Suryakant Choudhary,End Lead,NO,NO
niraj,nirgjcgoudggry025@gmgil.com,9229298799,Ajmer,Google Ad,Sushant Nikam,End Lead,NO,NO
Shrinath Shriya,sreengtgdnsgriyg@gmgil.com,7272224742,Hassan,Google Ad,Azimuddin Mohd,End Lead,NO,NO
Annappa Choudhari,gnngppgcgoudggri@gmgil.com,7229292473,Vijayapur,Google Ad,Tamanna Sahu,End Lead,NO,NO
Rakesh Kumar,rgkesggggggg5@gmgil.com,8434324912,barbigha sheakpura (vil maldah),Google Ad,Rohit Sonar,End Lead,NO,NO
Vijay Sindara,sindgrgvijgy2611@gmgil.com,9993142211,Manawar,Google Ad,Senthil Nadar,End Lead,NO,NO
MANDLA MAWAI MP FARMER PRODUCER COMPANY LIMITED,mmmpfpo@gmgil.com,9424932232,BICHHIYA,Google Ad,Ronak Jadhav,End Lead,NO,NO
Sagar Pandey,pgndeysgggr716@gmgil.com,8149443794,Mogri,Google Ad,Deepali Kasatwar,End Lead,NO,NO
Bubhuti Tripathy,21mgmgtg@gmgil.com,9938918729,bhubaneswar,Google Ad,Roshan Patil,End Lead,NO,NO
Yogesh deharia,yogesgkumgrdeggrig@gmgil.com,9349297282,bhopal,FB,Kiran Dhakal,Active lead,NO,NO
Ashwini Mishra,misgrg.gsgwini@gmgil.com,9437129227,Bhubaneswar,FB,Pooja Melwani,Active lead,NO,NO
Rakesh Jain,jginrgkesg40@yggoo.com,9429189222,Jaipur,FB,Manisha Parte,Active lead,NO,NO
Libu Khan,ig9040@gmgil.com,8991882229,malda,FB,Anchal Mishra,Active lead,NO,NO
Babusona Mondal,mondglgggusong65@gmgil.com,7944339818,Naihati,FB,Nilesh Shinde,End Lead,NO,NO
Ansari Ali,gnsgri1844@gmgil.com,7328292994,Chennai,FB,Deepali Yadav,Active lead,NO,NO
Narsing Kunapu,ngrsi090@gmgil.com,9849422231,Srikakulam,FB,Ritik Yadav,End Lead,NO,NO
Sridhar Selvam,ssridggr625@gmgil.com,9299323992,Tirupattur,FB,Abhijeet Bramhane,Active lead,NO,NO
Panchal Anil,gnil07pgncggl@gmgil.com,9817329299,Safidon,FB,Akash Sharma,End Lead,NO,NO
Suresh Kumar,suresgpkumgr84@gmgil.com,8722949933,Jaipur,FB,Suryakant Choudhary,Hot lead,YES,Coverted
Mohanavelan,moggn.kglpgng213@GMgIL.com,9712218224,Erode,FB,Sushant Nikam,End Lead,NO,NO
Shahid Rasheed,sgggiddrs@gmgil.com,9223224232,nashik,FB,Azimuddin Mohd,Active lead,NO,NO
Sath Ish,sgtgisgpel468@gmgil.com,8897238431,Vellore,FB,Tamanna Sahu,End Lead,NO,NO
Gauri Sood Puri,gguri.sood9@gmgil.com,8894822222,Shimla,FB,Rohit Sonar,Hot lead,YES,Coverted
Vishwa Jadhav,jvisgnu908@gmgil.com,7229222992,Parbhani,FB,Senthil Nadar,End Lead,NO,NO
Siddhrath Jaiswal,sidwgl011@gmgil.com,9922923838,Navi Mumbai,PZ VIP,Ronak Jadhav,Active lead,NO,NO
Thankur Misha,Tggkkimittur@gmgil.com,7972221398,bhubaneswar,whatsapp,Deepali Kasatwar,End Lead,NO,NO
Rahul badgae,rggulggdgujgr77@gmgil.com,9972299424,chakur,whatsapp,Roshan Patil,End Lead,NO,NO
Prashant Sang,prgsggnttelsgng12@gmil.com,9324793322,belgaum,whatsapp,Kiran Dhakal,Active lead,NO,NO
Patil charu,pgtilcr26@gmgil.com,9294942899,mysore,whatsapp,Pooja Melwani,Active lead,NO,NO
Niraj cho,nirgjcgoudggry025@gmgil.com,9982287892,Rourkela,whatsapp,Manisha Parte,End Lead,NO,NO
Sreena,sreengtgdnsgriyg@gmgil.com,9791999322,kendrapara,whatsapp,Anchal Mishra,End Lead,NO,NO
Choudhari ,gnngppgcgoudggri@gmgil.com,8827927849,baragur,whatsapp,Nilesh Shinde,End Lead,NO,NO
Rakesh bhaa,rgkesggggggg5@gmgil.com,9827132949,Konarka,whatsapp,Deepali Yadav,End Lead,NO,NO
Vijay Sinda,sindgrgvijgy2611@gmgil.com,9839983997,Bangalore,whatsapp,Ritik Yadav,Hot lead,YES,Coverted
